program_label,borocode,county,census_tract,code,total_units,number_reported,est_total_occupied,diff_occupied_reported,people_total,id_100,in_floddplain_100,in_floodplain_100,id_500,in_floddplain_500,in_floodplain_500
Housing Choice Vouchers,1.0,New York County,11700.0,36061011700,63.0,47.0,59.849999999999994,12.849999999999994,66.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,11900.0,36061011900,472.0,341.0,457.84,116.83999999999997,341.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,12100.0,36061012100,131.0,95.0,128.38,33.379999999999995,102.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,12500.0,36061012500,81.0,59.0,78.57,19.569999999999993,63.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,12900.0,36061012900,70.0,54.0,63.0,9.0,84.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,13200.0,36061013200,47.0,36.0,42.300000000000004,6.300000000000004,41.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,13500.0,36061013500,348.0,256.0,330.59999999999997,74.59999999999997,400.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,13600.0,36061013600,16.0,13.0,14.08,1.08,17.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,13800.0,36061013800,44.0,34.0,38.28,4.280000000000001,34.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,13900.0,36061013900,16.0,12.0,15.2,3.1999999999999993,16.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,14602.0,36061014602,33.0,24.0,32.339999999999996,8.339999999999996,24.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,15100.0,36061015100,177.0,136.0,157.53,21.53,281.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,15400.0,36061015400,210.0,151.0,205.79999999999998,54.79999999999998,232.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,15601.0,36061015601,47.0,37.0,39.48,2.479999999999997,44.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,15602.0,36061015602,16.0,13.0,13.6,0.5999999999999996,18.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,15700.0,36061015700,120.0,91.0,109.2,18.200000000000003,95.0,7848.0,1,1,0.0,1,1
